Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,SEO Title,SEO Description,Status
helix-plus,,,,,,,TRUE,Size,King,helix-plus-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus,,,,,,,TRUE,Size,CA King,helix-plus-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-luxe,Helix Sunset Luxe,<p>Plush pillow top</p><ul><li>Premium quilted pillow top</li><li>Zoned lumbar support</li><li>TENCEL and GlacioTex cooling options</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Soft, Luxe, priced",TRUE,Size,Twin,helix-sunset-luxe-twin,1149,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-sunset-luxe-1.webp,1,Helix Sunset Luxe | Discount Mattress Bowling Green,Helix Sunset Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-sunset-luxe,,,,,,,TRUE,Size,Twin XL,helix-sunset-luxe-twin-xl,1349,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-luxe,,,,,,,TRUE,Size,Full,helix-sunset-luxe-full,1649,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-luxe,,,,,,,TRUE,Size,Queen,helix-sunset-luxe-queen,1919,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-luxe,,,,,,,TRUE,Size,King,helix-sunset-luxe-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-luxe,,,,,,,TRUE,Size,CA King,helix-sunset-luxe-ca-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-luxe,Helix Moonlight Luxe,<p>Soft contour with lumbar support</p><ul><li>Premium quilted pillow top</li><li>Zoned lumbar support</li><li>TENCEL and GlacioTex cooling options</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-soft, priced",TRUE,Size,Twin,helix-moonlight-luxe-twin,1149,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-moonlight-luxe-1.png,1,Helix Moonlight Luxe | Discount Mattress Bowling Green,Helix Moonlight Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-moonlight-luxe,,,,,,,TRUE,Size,Twin XL,helix-moonlight-luxe-twin-xl,1349,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-luxe,,,,,,,TRUE,Size,Full,helix-moonlight-luxe-full,1649,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-luxe,,,,,,,TRUE,Size,Queen,helix-moonlight-luxe-queen,1919,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-luxe,,,,,,,TRUE,Size,King,helix-moonlight-luxe-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-luxe,,,,,,,TRUE,Size,CA King,helix-moonlight-luxe-ca-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-luxe,Helix Midnight Luxe,"<p>Plush top, supportive core</p><ul><li>Premium quilted pillow top</li><li>Zoned lumbar support</li><li>TENCEL and GlacioTex cooling options</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>",Helix,,Mattress,"primary, helix, Mattress, Medium, Premium pick, priced",TRUE,Size,Twin,helix-midnight-luxe-twin,1149,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-midnight-luxe-2.webp,1,Helix Midnight Luxe | Discount Mattress Bowling Green,Helix Midnight Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-midnight-luxe,,,,,,,TRUE,Size,Twin XL,helix-midnight-luxe-twin-xl,1349,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-luxe,,,,,,,TRUE,Size,Full,helix-midnight-luxe-full,1649,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-luxe,,,,,,,TRUE,Size,Queen,helix-midnight-luxe-queen,1919,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-luxe,,,,,,,TRUE,Size,King,helix-midnight-luxe-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-luxe,,,,,,,TRUE,Size,CA King,helix-midnight-luxe-ca-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-luxe,Helix Dusk Luxe,<p>Balanced luxury support</p><ul><li>Premium quilted pillow top</li><li>Zoned lumbar support</li><li>TENCEL and GlacioTex cooling options</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-firm, priced",TRUE,Size,Twin,helix-dusk-luxe-twin,1149,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-dusk-luxe-1.png,1,Helix Dusk Luxe | Discount Mattress Bowling Green,Helix Dusk Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-dusk-luxe,,,,,,,TRUE,Size,Twin XL,helix-dusk-luxe-twin-xl,1349,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-luxe,,,,,,,TRUE,Size,Full,helix-dusk-luxe-full,1649,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-luxe,,,,,,,TRUE,Size,Queen,helix-dusk-luxe-queen,1919,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-luxe,,,,,,,TRUE,Size,King,helix-dusk-luxe-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-luxe,,,,,,,TRUE,Size,CA King,helix-dusk-luxe-ca-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-luxe,Helix Dawn Luxe,<p>Firm pillow top</p><ul><li>Premium quilted pillow top</li><li>Zoned lumbar support</li><li>TENCEL and GlacioTex cooling options</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, priced",TRUE,Size,Twin,helix-dawn-luxe-twin,1149,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-dawn-luxe-1.png,1,Helix Dawn Luxe | Discount Mattress Bowling Green,Helix Dawn Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-dawn-luxe,,,,,,,TRUE,Size,Twin XL,helix-dawn-luxe-twin-xl,1349,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-luxe,,,,,,,TRUE,Size,Full,helix-dawn-luxe-full,1649,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-luxe,,,,,,,TRUE,Size,Queen,helix-dawn-luxe-queen,1919,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-luxe,,,,,,,TRUE,Size,King,helix-dawn-luxe-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-luxe,,,,,,,TRUE,Size,CA King,helix-dawn-luxe-ca-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-luxe,Helix Twilight Luxe,<p>Firm pressure relief</p><ul><li>Premium quilted pillow top</li><li>Zoned lumbar support</li><li>TENCEL and GlacioTex cooling options</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, priced",TRUE,Size,Twin,helix-twilight-luxe-twin,1149,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-twilight-luxe-1.png,1,Helix Twilight Luxe | Discount Mattress Bowling Green,Helix Twilight Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-twilight-luxe,,,,,,,TRUE,Size,Twin XL,helix-twilight-luxe-twin-xl,1349,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-luxe,,,,,,,TRUE,Size,Full,helix-twilight-luxe-full,1649,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-luxe,,,,,,,TRUE,Size,Queen,helix-twilight-luxe-queen,1919,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-luxe,,,,,,,TRUE,Size,King,helix-twilight-luxe-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-luxe,,,,,,,TRUE,Size,CA King,helix-twilight-luxe-ca-king,2339,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-luxe,Helix Plus Luxe,<p>Plus-size support with pillow top comfort</p><ul><li>Premium pillow top</li><li>ErgoAlign support option</li><li>GlacioTex cooling cover option</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-firm, Plus Luxe, priced",TRUE,Size,Twin,helix-plus-luxe-twin,1218,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-plus-luxe-1.png,1,Helix Plus Luxe | Discount Mattress Bowling Green,Helix Plus Luxe from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-plus-luxe,,,,,,,TRUE,Size,Twin XL,helix-plus-luxe-twin-xl,1406,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-luxe,,,,,,,TRUE,Size,Full,helix-plus-luxe-full,1687,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-luxe,,,,,,,TRUE,Size,Queen,helix-plus-luxe-queen,1874,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-luxe,,,,,,,TRUE,Size,King,helix-plus-luxe-king,2249,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-luxe,,,,,,,TRUE,Size,CA King,helix-plus-luxe-ca-king,2249,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-elite,Helix Sunset Elite,<p>Ultra-plush cooling luxury</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Microcoil comfort layers</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Soft, Elite, priced",TRUE,Size,Twin,helix-sunset-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-sunset-elite-1.png,1,Helix Sunset Elite | Discount Mattress Bowling Green,Helix Sunset Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-sunset-elite,,,,,,,TRUE,Size,Twin XL,helix-sunset-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-elite,,,,,,,TRUE,Size,Full,helix-sunset-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-elite,,,,,,,TRUE,Size,Queen,helix-sunset-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-elite,,,,,,,TRUE,Size,King,helix-sunset-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset-elite,,,,,,,TRUE,Size,CA King,helix-sunset-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-elite,Helix Moonlight Elite,<p>Soft Elite support</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Microcoil comfort layers</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-soft, Elite, priced",TRUE,Size,Twin,helix-moonlight-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/brand-assets/helix/hero.webp,1,Helix Moonlight Elite | Discount Mattress Bowling Green,Helix Moonlight Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-moonlight-elite,,,,,,,TRUE,Size,Twin XL,helix-moonlight-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-elite,,,,,,,TRUE,Size,Full,helix-moonlight-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-elite,,,,,,,TRUE,Size,Queen,helix-moonlight-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-elite,,,,,,,TRUE,Size,King,helix-moonlight-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight-elite,,,,,,,TRUE,Size,CA King,helix-moonlight-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-elite,Helix Midnight Elite,<p>Elite side-sleeper comfort</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Microcoil comfort layers</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium, Elite, priced",TRUE,Size,Twin,helix-midnight-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-midnight-elite-1.png,1,Helix Midnight Elite | Discount Mattress Bowling Green,Helix Midnight Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-midnight-elite,,,,,,,TRUE,Size,Twin XL,helix-midnight-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-elite,,,,,,,TRUE,Size,Full,helix-midnight-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-elite,,,,,,,TRUE,Size,Queen,helix-midnight-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-elite,,,,,,,TRUE,Size,King,helix-midnight-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight-elite,,,,,,,TRUE,Size,CA King,helix-midnight-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-elite,Helix Dusk Elite,<p>Elite balanced support</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Microcoil comfort layers</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-firm, Elite, priced",TRUE,Size,Twin,helix-dusk-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-dusk-elite-1.png,1,Helix Dusk Elite | Discount Mattress Bowling Green,Helix Dusk Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-dusk-elite,,,,,,,TRUE,Size,Twin XL,helix-dusk-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-elite,,,,,,,TRUE,Size,Full,helix-dusk-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-elite,,,,,,,TRUE,Size,Queen,helix-dusk-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-elite,,,,,,,TRUE,Size,King,helix-dusk-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk-elite,,,,,,,TRUE,Size,CA King,helix-dusk-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-elite,Helix Dawn Elite,<p>Elite firm support</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Microcoil comfort layers</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, Elite, priced",TRUE,Size,Twin,helix-dawn-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-dawn-elite-1.png,1,Helix Dawn Elite | Discount Mattress Bowling Green,Helix Dawn Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-dawn-elite,,,,,,,TRUE,Size,Twin XL,helix-dawn-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-elite,,,,,,,TRUE,Size,Full,helix-dawn-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-elite,,,,,,,TRUE,Size,Queen,helix-dawn-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-elite,,,,,,,TRUE,Size,King,helix-dawn-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn-elite,,,,,,,TRUE,Size,CA King,helix-dawn-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-elite,Helix Twilight Elite,<p>Elite firm pressure relief</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Microcoil comfort layers</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, Elite, priced",TRUE,Size,Twin,helix-twilight-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-twilight-elite-1.png,1,Helix Twilight Elite | Discount Mattress Bowling Green,Helix Twilight Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-twilight-elite,,,,,,,TRUE,Size,Twin XL,helix-twilight-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-elite,,,,,,,TRUE,Size,Full,helix-twilight-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-elite,,,,,,,TRUE,Size,Queen,helix-twilight-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-elite,,,,,,,TRUE,Size,King,helix-twilight-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight-elite,,,,,,,TRUE,Size,CA King,helix-twilight-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-elite,Helix Plus Elite,<p>Top-tier plus-size support</p><ul><li>GlacioTex Elite cooling cover</li><li>ErgoAlign contour layer</li><li>Reinforced support up to 2000 lbs</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-firm, Elite Plus, priced",TRUE,Size,Twin,helix-plus-elite-twin,1874,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-plus-elite-1.png,1,Helix Plus Elite | Discount Mattress Bowling Green,Helix Plus Elite from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-plus-elite,,,,,,,TRUE,Size,Twin XL,helix-plus-elite-twin-xl,2062,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-elite,,,,,,,TRUE,Size,Full,helix-plus-elite-full,2483,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-elite,,,,,,,TRUE,Size,Queen,helix-plus-elite-queen,2998,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-elite,,,,,,,TRUE,Size,King,helix-plus-elite-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus-elite,,,,,,,TRUE,Size,CA King,helix-plus-elite-ca-king,3374,,,deny,manual,TRUE,TRUE,,,,,active
